AntiSpot,SituComp
0.972802,0.345173
0.961661,0.257292
0.994088,0.270288
0.995809,0.303108
0.983506,0.219441
0.988069,0.208909
0.997660,0.269192
0.992144,0.324314
0.995132,0.280735
0.995050,0.310423
0.980731,0.203856
0.975317,0.220162
0.995308,0.241848
0.969825,0.364212
0.977538,0.312543
0.978889,0.393932
0.960679,0.272252
0.971606,0.372870
0.978605,0.234744
0.965717,0.213560
0.997698,0.280779
0.979851,0.324235
0.996046,0.216799
0.996049,0.216256
0.971635,0.246634
0.995075,0.345017
0.983158,0.246529
0.970832,0.238159
0.991596,0.255876
0.983545,0.261111
0.993906,0.275631
0.986518,0.348868
0.978616,0.289398
0.979816,0.361086
0.973637,0.294244
0.977486,0.308614
0.984482,0.350059
0.989140,0.311170
0.999134,0.203075
0.992753,0.382506
0.980668,0.228126
0.962031,0.359476
0.962130,0.397899
0.960986,0.212173
0.985801,0.249655
0.997208,0.272866
0.984387,0.338401
0.978454,0.266790
0.970982,0.257300
0.990699,0.343819
0.970742,0.274161
0.989067,0.332848
0.995145,0.266490
0.963244,0.391242
0.978578,0.329307
0.995635,0.257391
0.961800,0.330435
0.979090,0.248711
0.967844,0.385117
0.961070,0.362952
0.976122,0.387844
0.983113,0.263316
0.991341,0.244547
0.989710,0.354883
0.986038,0.205751
0.990685,0.295163
0.960475,0.261037
0.995860,0.339735
0.984611,0.316235
0.995997,0.294868
0.994158,0.260607
0.992550,0.259887
0.968351,0.306984
0.984927,0.331340
0.991129,0.204174
0.990953,0.261807
0.965239,0.285168
0.978759,0.373435
0.973200,0.247839
0.963506,0.231707
0.964870,0.284489
0.965751,0.214494
0.961229,0.204581
0.994608,0.299018
0.970396,0.258679
0.981345,0.327403
0.980966,0.245346
0.986717,0.352478
0.967549,0.255916
0.980000,0.271258
0.968735,0.251088
0.976466,0.209310
0.969527,0.297915
0.974482,0.201378
0.998390,0.326902
0.985569,0.382150
0.983329,0.350893
0.968337,0.289569
0.983130,0.373642
0.993280,0.265666
0.968273,0.360904
0.998522,0.375590
0.986222,0.241504
0.987279,0.388023
0.969810,0.289584
0.991739,0.261481
0.985126,0.384595
0.996396,0.367136
0.972272,0.221981
0.963758,0.349179
0.977063,0.206082
0.992827,0.217876
0.961253,0.309895
0.990181,0.375634
0.986789,0.306864
0.996471,0.231928
0.975961,0.260719
0.994561,0.398086
0.987251,0.226817
0.967277,0.378796
0.977180,0.255526
0.996616,0.246218
0.975714,0.396550
0.988522,0.354519
0.982614,0.212821
0.990110,0.260372
0.989571,0.368577
0.996396,0.327172
0.988937,0.249355
0.966077,0.211342
0.992508,0.341434
0.986391,0.207940
0.976585,0.362930
0.961707,0.291552
0.985138,0.334393
0.998896,0.313650
0.999514,0.282909
0.984889,0.237759
0.993269,0.339335
0.973834,0.210215
0.983746,0.370379
0.964764,0.308270
0.992098,0.267751
0.964792,0.381120
0.974336,0.371700
0.994786,0.398111
0.982194,0.253840
0.961958,0.245727
0.965982,0.233475
0.999981,0.392265
0.997247,0.280324
0.989549,0.233344
0.977731,0.295250
0.989184,0.313826
0.999764,0.289045
0.973739,0.311152
0.970011,0.240153
0.969404,0.258029
0.969650,0.320525
0.960351,0.261569
0.971055,0.252137
0.966134,0.382921
0.969584,0.319614
0.989109,0.268237
0.971008,0.391038
0.992652,0.224103
0.973988,0.269797
0.991163,0.284959
0.971804,0.288183
0.976996,0.221792
0.970070,0.394223
0.969526,0.216335
0.983373,0.224306
0.984524,0.321863
0.966141,0.355439
0.966432,0.374389
0.987379,0.282262
0.962791,0.238547
0.984857,0.357885
0.982682,0.229571
0.960498,0.214130
0.980328,0.247761
0.972258,0.294166
0.972295,0.226461
0.990924,0.396696
0.979628,0.217963
0.990607,0.340755
0.974134,0.344275
0.970022,0.271547
0.999573,0.300334
0.961337,0.359259
0.995498,0.377427
0.963730,0.395808
0.997423,0.349324
0.998863,0.337249
0.968108,0.345760
0.989751,0.323577
0.984843,0.301764
0.995200,0.265545
0.979856,0.229618
0.980869,0.271389
0.973574,0.343322
0.979140,0.354015
0.991265,0.379430
0.972879,0.366749
0.993170,0.340369
0.988260,0.338276
0.991575,0.295568
0.973640,0.206403
0.966480,0.334130
0.975306,0.268584
0.967328,0.311327
0.996082,0.226793
0.989738,0.295895
0.971447,0.217299
0.984914,0.333996
0.974839,0.278724
0.984573,0.215563
0.966537,0.215280
0.986926,0.246786
0.994971,0.363859
0.987269,0.386996
0.974318,0.385019
0.987210,0.295466
0.984634,0.316357
0.965253,0.218173
0.993988,0.241683
0.988494,0.274300
0.988737,0.300589
0.961199,0.265960
0.970000,0.376216
0.990923,0.246635
0.992093,0.283527
0.979662,0.383851
0.987700,0.344790
0.961749,0.359304
0.999370,0.300381
0.981147,0.277050
0.974605,0.336965
0.960897,0.365511
0.967996,0.359212
0.964616,0.238682
0.961664,0.327981
0.962455,0.396596
0.997208,0.222266
0.987923,0.324341
0.963944,0.361003
0.999970,0.221546
0.984883,0.391250
0.974766,0.384104
0.983870,0.237167
0.987104,0.246165
0.976623,0.355006
0.982764,0.361876
0.980792,0.394963
0.960356,0.239716
0.983569,0.308610
0.980027,0.228166
0.977986,0.208766
0.994429,0.251307
0.978735,0.209749
0.992601,0.373102
0.976781,0.214772
0.968855,0.356134
0.998983,0.386967
0.979693,0.307121
0.985771,0.284955
0.962754,0.339527
0.977751,0.240603
0.970466,0.201197
0.984959,0.381518
0.991414,0.219167
0.994736,0.386692
0.991099,0.376166
0.982527,0.331032
0.965552,0.200090
0.979168,0.349012
0.979921,0.327873
0.975097,0.332932
0.994927,0.203009
0.975093,0.361932
0.968497,0.394201
0.979331,0.305180
0.998694,0.310197
0.966519,0.276581
0.997899,0.290742
0.994866,0.380028
0.982414,0.299775
0.991536,0.204954
0.961874,0.364142
0.961081,0.226539
0.995391,0.266630
0.967170,0.320838
0.999082,0.309311
0.985317,0.288289
0.963251,0.307016
0.975518,0.221361
0.979499,0.386176
0.960118,0.333310
0.985703,0.214131
0.961922,0.343488
0.997820,0.356105
0.970192,0.281711
0.987661,0.378174
0.996148,0.351046
0.975159,0.292944
0.963962,0.323318
0.999255,0.242300
0.970896,0.250426
0.982945,0.393664
0.996665,0.374230
0.969501,0.284631
0.962864,0.384966
0.999180,0.341847
0.998065,0.398877
0.964996,0.292076
0.970740,0.353072
0.996474,0.337444
0.973349,0.329505
0.966938,0.242342
0.985860,0.286375
0.964527,0.345655
0.987739,0.364158
0.997244,0.273770
0.968699,0.332662
0.975590,0.317132
0.981742,0.326231
0.976125,0.346627
0.983686,0.361668
0.998629,0.224051
0.983265,0.362527
0.977501,0.300131
0.972839,0.279812
0.962000,0.358006
0.967279,0.285345
0.976098,0.233829
0.994360,0.359261
0.976184,0.226023
0.961173,0.354529
0.974820,0.234801
0.973735,0.338700
0.989198,0.385124
0.975297,0.395047
0.997645,0.324536
0.969430,0.298037
0.985331,0.273846
0.995061,0.240325
0.972613,0.235191
0.983095,0.397082
0.978695,0.216461
0.993024,0.222682
0.977329,0.336036
0.980558,0.336541
0.963892,0.343959
0.976884,0.212142
0.997764,0.261284
0.998903,0.333258
0.980830,0.394134
0.976971,0.300538
0.973664,0.345995
0.968674,0.272840
0.998115,0.263786
0.987710,0.312129
0.982758,0.399332
0.963832,0.367051
0.972645,0.293146
0.960020,0.309596
0.975715,0.242820
0.975649,0.259319
0.968187,0.296995
0.991632,0.299359
0.969418,0.233032
0.967712,0.308239
0.994447,0.334923
0.978511,0.365296
0.967560,0.263862
0.967235,0.212636
0.962559,0.316553
0.961924,0.233628
0.998215,0.378383
0.962719,0.311918
0.989475,0.215730
0.970111,0.369946
0.966045,0.334315
0.969873,0.228093
0.969771,0.346874
0.993104,0.261211
0.986877,0.232972
0.978890,0.303686
0.964354,0.399582
0.999544,0.244293
0.984199,0.355857
0.965202,0.390608
0.983111,0.348442
0.986889,0.274001
0.977273,0.349524
0.994461,0.291051
0.988447,0.204394
0.990593,0.212008
0.976556,0.272683
0.990514,0.324122
0.971936,0.344479
0.980790,0.314881
0.988969,0.306623
0.973765,0.275354
0.969248,0.381984
0.962114,0.349140
0.998601,0.202434
0.965742,0.263119
0.971678,0.240541
0.990090,0.244118
0.977000,0.297950
0.978864,0.206420
0.962542,0.237903
0.961389,0.290897
0.997907,0.292698
0.978371,0.200986
0.998456,0.283588
0.994568,0.335500
0.995529,0.370820
0.995354,0.383860
0.963448,0.363177
0.988786,0.331824
0.966082,0.397270
0.995190,0.274689
0.995734,0.273329
0.974200,0.223955
0.988042,0.389656
0.977893,0.333756
0.987093,0.256202
0.980047,0.200358
0.981731,0.292745
0.977441,0.315582
0.961902,0.220153
0.972503,0.316242
0.977460,0.319606
0.982595,0.268890
0.997985,0.368413
0.991269,0.358577
0.980397,0.304393
0.960366,0.240762
0.997564,0.372676
0.977455,0.342285
0.980990,0.388910
0.964046,0.324757
0.983635,0.285979
0.965951,0.229013
0.997819,0.319845
0.995164,0.376185
0.994506,0.282864
0.999795,0.264468
0.989534,0.337479
0.965717,0.233561
0.982018,0.259383
0.964797,0.377785
0.975122,0.220223
0.998831,0.238060
0.993895,0.329720
0.986422,0.390703
0.981007,0.205690
0.994062,0.254284
0.993587,0.306149
0.988627,0.243522
0.983168,0.279271
0.982579,0.335097
0.975840,0.280790
0.994335,0.370820
0.987678,0.325368
0.998444,0.334861
0.962933,0.261946
0.995148,0.272559
0.998881,0.338090
0.965309,0.281217
0.989146,0.272322
0.975538,0.330033
0.962918,0.261308
0.992023,0.332506
0.986633,0.374456
0.978270,0.307887
0.988984,0.285350
0.965058,0.391248
0.988961,0.263282
0.984785,0.226968
0.982006,0.341277
0.961144,0.369643
0.994563,0.398486
0.969938,0.329898
0.975405,0.349491
0.961782,0.337118
0.995849,0.346976
0.975234,0.289873
0.969405,0.259112
0.983648,0.267256
0.967675,0.359255
0.968423,0.391241
0.970634,0.298809
0.988956,0.386779
0.992952,0.387874
0.964234,0.332643
0.965512,0.292953
0.982130,0.224335
0.996642,0.376527
0.970323,0.239733
0.979057,0.302640
0.960002,0.228716
0.967508,0.244396
0.982497,0.206818
0.982978,0.255962
0.960071,0.357944
0.987191,0.295258
0.983143,0.222478
0.963081,0.259908
0.980073,0.294188
0.982303,0.285790
0.980882,0.351487
0.980054,0.258028
0.973241,0.234162
0.994955,0.230796
0.973958,0.318915
0.984311,0.229897
0.980420,0.353825
0.982593,0.357265
0.976420,0.317010
0.973328,0.234882
0.978128,0.386255
0.988294,0.216497
0.996860,0.234734
0.980977,0.305463
0.997931,0.357491
0.985832,0.395961
0.995557,0.243547
0.993133,0.334598
0.997956,0.373879
0.991783,0.210785
0.998642,0.323312
0.970683,0.230648
0.984548,0.344163
0.987816,0.321108
0.980088,0.264747
0.986474,0.211251
0.962182,0.205375
0.987062,0.396197
0.962050,0.211766
0.968344,0.257029
0.961424,0.204133
0.973460,0.242543
0.970419,0.362337
0.991201,0.354973
0.964216,0.270933
0.998302,0.372109
0.974912,0.265263
0.984700,0.224592
0.971120,0.347384
0.978954,0.322213
0.991553,0.252136
0.966800,0.351315
0.967415,0.326888
0.961127,0.290510
0.995473,0.302282
0.970806,0.248383
0.992186,0.298153
0.960286,0.385532
0.994877,0.257308
0.992459,0.361784
0.963540,0.267339
0.971231,0.320011
0.995387,0.266994
0.973509,0.354617
0.983116,0.357014
0.980080,0.254639
0.987275,0.231427
0.973582,0.387643
0.969634,0.332764
0.981885,0.341967
0.967795,0.208496
0.996929,0.327816
0.968029,0.234334
0.960273,0.250620
0.987345,0.339405
0.975821,0.222504
0.966241,0.237093
0.979234,0.253960
0.973456,0.367245
0.980191,0.251732
0.960342,0.223527
0.996704,0.276210
0.999785,0.251433
0.982111,0.339689
0.963971,0.345431
0.978416,0.236787
0.989741,0.274806
0.970634,0.336257
0.978914,0.258184
0.981048,0.251018
0.974092,0.398603
0.979264,0.260688
0.998917,0.364242
0.966746,0.217255
0.994539,0.354275
0.991146,0.348553
0.968119,0.346655
0.979354,0.387899
0.978466,0.356023
0.985161,0.381959
0.960955,0.366029
0.968356,0.359772
0.994618,0.347580
0.969822,0.237431
0.978472,0.249220
0.991813,0.247921
0.999805,0.232995
0.978530,0.357262
0.997349,0.210114
0.978639,0.323080
0.980147,0.222886
0.973925,0.362097
0.972664,0.270285
0.985998,0.298833
0.996341,0.385265
0.978210,0.318720
0.968332,0.253174
0.992549,0.219567
0.964157,0.255184
0.991994,0.246427
0.978422,0.239923
0.998866,0.205093
0.967034,0.236260
0.965906,0.396722
0.980341,0.376909
0.984727,0.288184
0.999536,0.215243
0.991331,0.380091
0.964644,0.329111
0.962772,0.391009
0.985499,0.397793
0.974568,0.284496
0.996489,0.379434
0.987047,0.335054
0.990947,0.244776
0.964550,0.337389
0.977833,0.267091
0.985084,0.255017
0.972147,0.342622
0.990536,0.271876
0.967422,0.327376
0.982909,0.298592
0.972765,0.236363
0.988363,0.264139
0.991516,0.336894
0.999894,0.282936
0.969921,0.345499
0.983083,0.259947
0.969033,0.272343
0.998891,0.259266
0.967086,0.313956
0.982592,0.378382
0.977283,0.223470
0.966083,0.315461
0.982055,0.293336
0.997521,0.259619
0.982358,0.315891
0.967829,0.348330
0.992703,0.274947
0.986917,0.261381
0.996210,0.352617
0.998906,0.318536
0.982700,0.208116
0.969973,0.237982
0.970792,0.207638
0.977418,0.378328
0.997567,0.269703
0.995245,0.223212
0.992775,0.220384
0.977130,0.249410
0.982574,0.230773
0.985284,0.364889
0.978420,0.218990
0.973847,0.302119
0.994686,0.378448
0.978833,0.350075
0.989972,0.311306
0.997447,0.289363
0.968600,0.212954
0.981140,0.207903
0.960820,0.343479
0.978731,0.251215
0.983364,0.304325
0.974810,0.286933
0.963892,0.301672
0.988199,0.229266
0.984473,0.263005
0.962549,0.378864
0.990485,0.372119
0.976909,0.256746
0.991933,0.319856
0.998331,0.288977
0.997640,0.372514
0.993257,0.314146
0.981892,0.317135
0.999541,0.238205
0.985199,0.334730
0.981740,0.282981
0.990900,0.202044
0.975475,0.351164
0.993430,0.381773
0.980216,0.292208
0.972911,0.348949
0.971415,0.294885
0.978660,0.373272
0.977037,0.372853
0.985655,0.210363
0.997528,0.251235
0.979156,0.258637
0.980152,0.278065
0.966138,0.309176
0.962005,0.396635
0.993906,0.373955
0.972563,0.233330
0.979866,0.302161
0.962925,0.267646
0.962100,0.392755
0.972878,0.201121
0.979233,0.337993
0.975055,0.273298
0.984846,0.329443
0.975834,0.248026
0.976993,0.209639
0.991214,0.370856
0.976317,0.363434
0.966888,0.390659
0.980069,0.240738
0.988657,0.260601
0.970276,0.294437
0.977885,0.333681
0.979409,0.254233
0.996564,0.299524
0.988932,0.394136
0.997185,0.206471
0.963131,0.356823
0.999092,0.373674
0.992221,0.270500
0.967155,0.344166
0.995418,0.252969
0.983480,0.395271
0.985522,0.231875
0.982980,0.342240
0.992079,0.290261
0.984191,0.345113
0.963104,0.324446
0.984734,0.282503
0.982117,0.388321
0.990089,0.324776
0.995905,0.383606
0.972653,0.233510
0.972648,0.217246
0.964400,0.343301
0.962467,0.306563
0.986018,0.256636
0.992945,0.204372
0.981836,0.256779
0.960952,0.330419
0.995981,0.283831
0.972151,0.246113
0.976444,0.202316
0.986214,0.324852
0.983142,0.318076
0.964440,0.345581
0.976385,0.249008
0.975181,0.339960
0.994718,0.340970
0.991285,0.283618
0.993415,0.339527
0.992811,0.388675
0.960270,0.233749
0.988020,0.370765
0.972554,0.235907
0.998834,0.319547
0.991816,0.205656
0.974780,0.272923
0.982995,0.266154
0.992185,0.314994
0.983062,0.391196
0.972513,0.273115
0.962205,0.256074
0.985398,0.362257
0.964571,0.357118
0.999397,0.376709
0.982104,0.276012
0.962516,0.383847
0.971909,0.360505
0.980748,0.366789
0.975635,0.222058
0.999908,0.361498
0.966010,0.304933
0.987657,0.261398
0.968832,0.295111
0.987261,0.209391
0.976949,0.397333
0.987920,0.311183
0.988660,0.330371
0.989164,0.360898
0.961612,0.217666
0.995923,0.252173
0.980282,0.386670
0.965855,0.298551
0.985890,0.209942
0.978982,0.310222
0.974189,0.314023
0.998061,0.245924
0.972132,0.342309
0.981957,0.281984
0.968687,0.202749
0.998424,0.360828
0.990385,0.318352
0.980024,0.271224
0.963416,0.267621
0.988674,0.280746
0.998392,0.210930
0.961350,0.394034
0.984608,0.221837
0.982985,0.286204
0.981933,0.237295
0.969393,0.210426
0.974785,0.344762
0.979677,0.294407
0.964523,0.249148
0.974498,0.240069
0.976760,0.372053
0.964702,0.252826
0.961942,0.260127
0.994002,0.381811
0.977078,0.268380
0.983031,0.241257
0.968419,0.270433
0.992573,0.238661
0.961770,0.297632
0.983299,0.324129
0.987972,0.298419
0.967079,0.242805
0.997325,0.291397
0.995316,0.249559
0.963981,0.303378
0.999813,0.355822
0.975982,0.222905
0.966029,0.280601
0.977354,0.260047
0.985486,0.372330
0.964005,0.322211
0.981077,0.312660
0.971655,0.383832
0.973030,0.241397
0.983723,0.345908
0.991912,0.228519
0.962192,0.361776
0.989114,0.216241
0.967355,0.326476
0.968766,0.248078
0.993537,0.211544
0.969653,0.210011
0.993986,0.271179
0.983572,0.357613
0.974715,0.380286
0.975691,0.291568
0.997931,0.349187
0.982296,0.329472
0.989294,0.262320
0.988739,0.248963
0.970171,0.209953
0.991747,0.380380
0.995899,0.285117
0.963135,0.210553
0.993464,0.363921
0.971823,0.380267
0.996705,0.372929
0.977090,0.337363
0.995520,0.234718
0.996401,0.382034
0.963164,0.266269
0.967578,0.299364
0.981843,0.329238
0.971841,0.264907
0.987713,0.278312
0.997468,0.316949
0.970780,0.271302
0.993484,0.289960
0.969308,0.351644
0.960929,0.213641
0.976511,0.373306
0.990588,0.280776
0.976935,0.344225
0.961248,0.201838
0.981020,0.223896
0.970801,0.221025
0.964565,0.397121
0.996715,0.229772
0.966922,0.209062
0.963865,0.311839
0.971751,0.346100
0.969527,0.328659
0.991902,0.212662
0.997042,0.354965
0.979588,0.383211
0.980207,0.230179
0.997482,0.203902
0.966108,0.362508
0.985151,0.385512
0.974294,0.306253
0.962831,0.373635
0.995555,0.397395
0.978886,0.336094
0.968519,0.337781
0.984534,0.227161
0.964491,0.283071
0.960103,0.278999
0.994822,0.356449
0.980043,0.332289
0.976773,0.327142
0.982012,0.352226
0.988576,0.398865
0.961830,0.346008
0.999690,0.219289
0.970102,0.215532
0.963303,0.398201
0.968034,0.319147
0.980103,0.208111
0.981848,0.276538
0.965935,0.217349
0.965930,0.371438
0.966279,0.359808
0.989841,0.381876
0.974596,0.273978
0.984541,0.209024
0.962226,0.235666
0.991013,0.212688
0.977239,0.210107
0.964354,0.200500
0.983052,0.397362
0.983559,0.374902
0.971236,0.361968
0.984425,0.329162
0.982217,0.315387
0.991420,0.232558
0.972034,0.263244
0.964611,0.297837
0.987082,0.230018
0.965315,0.266811
0.979658,0.229785
0.995460,0.338972
0.989868,0.283373
0.988975,0.338723
0.980944,0.321432
0.991427,0.347631
0.967913,0.328165
0.994423,0.289008
0.979338,0.316321
0.967326,0.333289
0.963325,0.387188
0.984701,0.270416
0.973813,0.360180
0.995860,0.241982
0.987147,0.233924
0.977683,0.267917
0.975523,0.275981
0.966355,0.387439
0.968934,0.239063
0.967691,0.398561
0.981960,0.323243
0.971767,0.215403
0.999158,0.392243
0.975662,0.357231
0.972246,0.253985
0.974323,0.289096
0.999366,0.260874
0.962772,0.203547
0.961921,0.267932
0.971452,0.334338
0.997275,0.268619
0.992159,0.345401
0.976659,0.251575
0.999848,0.307406
0.997851,0.363992
0.980020,0.368610
0.971045,0.225870
0.963498,0.360868
0.965952,0.336319
0.980201,0.359599
0.993545,0.312801
0.965544,0.322230
0.974077,0.266257
0.981547,0.202604
0.960225,0.336585
0.975443,0.284682
0.988541,0.392275
0.967729,0.230458
0.996357,0.274517
0.983550,0.209163
0.965332,0.387275
0.996356,0.330732
0.969704,0.229378
0.973721,0.346570
0.977208,0.294786
0.978730,0.383204
0.965788,0.298073
0.972517,0.330661
0.986124,0.238363
0.978426,0.320562
0.987098,0.206772
0.993810,0.314484
0.993030,0.258086
0.990812,0.343583
0.973490,0.262348
0.992923,0.305612
0.960733,0.304585
0.983073,0.298627
0.979940,0.373122
0.984451,0.323872
0.976807,0.200652
0.984091,0.304182
0.980894,0.283819
0.996393,0.244466
0.996523,0.391089
0.984295,0.318300
0.986929,0.343102
0.961076,0.242824
0.998996,0.397274
0.982531,0.236093
0.963664,0.399327
0.991896,0.313441
0.976922,0.352946
0.990432,0.322193
0.967536,0.344403
0.979856,0.208517
0.977589,0.208989
0.988805,0.392941
0.965216,0.220386
0.997996,0.384102
0.998259,0.235593
0.985812,0.255956
0.987265,0.258321
0.998629,0.304893
0.993422,0.369108
0.977683,0.245019
0.990294,0.324894
0.974729,0.245858
0.967588,0.261574
0.964037,0.383211
0.966902,0.344576
0.995452,0.218282
0.971202,0.390358
0.999862,0.248913
0.962831,0.332492
0.983866,0.218229
0.981224,0.342768
0.985896,0.285228
0.984964,0.265506
0.983319,0.252240
0.963588,0.354421
0.997664,0.338698
0.989425,0.270953
0.982262,0.239982
0.992134,0.342941
0.975385,0.217464
0.998321,0.218473
0.997269,0.309263
0.960135,0.300916
0.989563,0.234191
0.978889,0.315430
0.970452,0.236944
0.975067,0.392419
0.960261,0.375783
0.961242,0.358252
0.960300,0.291366
0.975594,0.313455
0.970436,0.211773
0.969684,0.333858
0.961842,0.387836
0.975532,0.323187
0.973845,0.397750
0.993230,0.339337
0.997386,0.214536
0.974284,0.361043
0.969787,0.249717
0.982892,0.261617
0.997581,0.332751
0.973846,0.392346
0.970360,0.361446
0.987709,0.347607
0.983775,0.383712
0.984355,0.242353
0.981695,0.328308
0.985661,0.314323
0.975935,0.312175
0.998010,0.348666
0.978295,0.354643
0.990611,0.353893
0.975962,0.310969
0.996806,0.208551
0.963441,0.323024
0.990122,0.215292
0.965717,0.390930
0.981911,0.322125
0.971948,0.375908
0.995082,0.287308
0.970110,0.392391
0.985362,0.247173
0.991883,0.345111
0.989341,0.344730
0.989025,0.313850
0.972425,0.274966
0.970221,0.304623
0.994583,0.316811
0.970317,0.310168
0.977862,0.204327
0.970549,0.374757
0.972119,0.249373
0.967047,0.257375
0.990240,0.380320
0.989173,0.357493
0.965982,0.342931
0.975345,0.292989
0.971929,0.264736
0.998839,0.342223
0.962161,0.391113
0.982490,0.209025
0.976225,0.336795
0.976177,0.343441
0.984642,0.255525
0.987794,0.319419
0.974442,0.221169
0.962904,0.369386
0.979027,0.336916
0.964463,0.299174
0.977067,0.331850
0.998227,0.250665
0.966935,0.332818
0.992598,0.272707
0.986562,0.262405
0.961364,0.220032
0.960325,0.326957
0.973841,0.392844
0.993327,0.373827
0.980458,0.348539
0.971830,0.223682
0.982066,0.311656
0.962436,0.248958
0.976532,0.319864
0.996176,0.234238
0.973769,0.218447
0.972940,0.321267
0.987672,0.211245
0.993301,0.351710
0.981028,0.291794
0.996993,0.315738
0.993502,0.377191
0.978612,0.365507
0.997465,0.315110
0.966813,0.338356
0.997103,0.383936
0.989398,0.306188
0.986872,0.387375
0.973246,0.230232
0.986635,0.320230
0.978059,0.373725
0.977520,0.297160
0.965092,0.342565
0.973981,0.340251
0.980094,0.372094
0.990062,0.233016
0.999019,0.254634
0.960058,0.353983
0.971743,0.260702
0.971592,0.262096
0.999807,0.396766
0.977440,0.272759
0.996111,0.284827
0.969085,0.364118
0.994633,0.223861
0.986870,0.329085
0.998860,0.205316
0.966900,0.326559
0.993647,0.239434
0.990789,0.274662
0.971996,0.389801
0.968924,0.292146
0.981671,0.373390
0.965078,0.283614
0.986912,0.264448
0.974582,0.212341
0.974566,0.315840
0.970746,0.340080
0.980369,0.351139
0.978703,0.378422
0.997216,0.241469
0.963905,0.302651
0.965970,0.297057
0.971525,0.306696
0.978278,0.328655
0.997348,0.373833
0.992802,0.305625
0.978338,0.358942
0.997466,0.274466
0.974233,0.206891
0.991267,0.273525
0.989863,0.353355
0.967074,0.224092
0.964896,0.211784
0.974612,0.343283
0.976533,0.308741
0.964501,0.397341
0.970729,0.298564
0.979700,0.359240
0.975546,0.246333
0.985812,0.325898
0.996872,0.277556
0.969012,0.268220
0.973222,0.214372
0.985580,0.201615
0.972018,0.367924
0.961239,0.247860
0.970246,0.313234
0.985590,0.237953
0.966006,0.249747
0.962634,0.280359
0.989930,0.251715
0.971658,0.263192
0.974794,0.343224
0.979870,0.237657
0.971803,0.219993
0.995433,0.370039
0.980216,0.343103
0.991500,0.224600
0.996262,0.348997
0.998210,0.244953
0.987182,0.290334
0.965685,0.249018
0.973535,0.391137
0.976925,0.349885
0.984219,0.278220
0.996957,0.349877
0.970382,0.319553
0.980525,0.246627
0.979260,0.270355
0.997673,0.290685
0.964748,0.305440
0.968451,0.349520
0.986356,0.218786
0.966572,0.347050
0.980537,0.332891
0.964049,0.284829
0.961681,0.218325
0.963058,0.236690
0.971872,0.240770
0.966229,0.380921
